"cancer","endpoint","score","n","events","HR_per_SD","CI_low","CI_high","p_cox","padj_by_endpoint_score"
"UCEC","DSS","MDR_resolution",185,25,1.35012863495082,0.873073788314758,2.08785025425252,0.177112699178872,0.372525592516851
"OV","PFI","MDR_axis",425,309,1.08935805971278,0.960670747451174,1.23528376960546,0.182072067251063,0.480008177298257
"LIHC","OS","MDR_resolution",422,167,1.12197755557218,0.947341380896692,1.32880676448039,0.182436025577115,0.48649606820564
"COAD","DSS","MDR_apc_ifn",317,42,1.22198474101094,0.909630930787425,1.6415962306503,0.183161167508921,0.335795473766354
"GBM","DSS","MDR_axis",145,110,1.12686738851022,0.944694200717969,1.34417053722017,0.184313910930321,0.450545115607451
"LUSC","DSS","MDR_resolution",534,108,1.13864435203696,0.939226953680002,1.38040220773668,0.186262796258426,0.372525592516851
"BLCA","DFI","MDR_axis",192,31,1.26288342620773,0.888085538978573,1.79585690588376,0.193853609452374,0.338192364599481
"LUAD","OS","MDR_apc_ifn",621,238,0.922295973968281,0.816231412241567,1.04214301341585,0.194384990340887,0.333231412012948
"BLCA","PFI","MDR_apc_ifn",430,183,0.911938877576895,0.793352051704036,1.04825154816194,0.194645354579869,0.350142271209774
"MESO","PFI","MDR_injury",83,59,1.1953479831516,0.911836405528452,1.56701003838129,0.196427526413785,0.379759884399984
"LGG","DFI","MDR_apc_ifn",135,23,0.732590016517419,0.456469496297481,1.17573712297137,0.197324459062558,0.421773192123438
"LUSC","PFI","MDR_resolution",609,179,1.10267337892574,0.950120583983952,1.27972028086494,0.198275177903631,0.805337526096001
"SARC","DFI","MDR_axis",159,71,1.16318713622568,0.921712972133979,1.46792369727464,0.202915418759689,0.338192364599481
"HNSC","DSS","MDR_apc_ifn",561,160,0.905178635721987,0.776399882825865,1.05531747323986,0.203256359429774,0.343972300573463
"PRAD","DFI","MDR_apc_ifn",395,32,1.25772218077484,0.8828813441711,1.7917074524869,0.204071089653977,0.421773192123438
"LUSC","PFI","MDR_apc_ifn",609,179,1.10030084159265,0.949034008341603,1.2756781436369,0.205255814157454,0.350142271209774
"GBM","OS","MDR_axis",158,125,1.11086244223276,0.942385385782945,1.30945936150962,0.210264098893976,0.48094270175331
"HNSC","DFI","MDR_apc_ifn",135,29,1.25856310752033,0.877840220187449,1.80440706541448,0.210886596061719,0.421773192123438
"BLCA","DFI","MDR_injury",192,31,0.790719797445042,0.545037469794275,1.14714644904602,0.216138911240033,0.570408508769446
"MESO","PFI","MDR_axis",83,59,1.19682818881139,0.897911538870016,1.59525482358337,0.220389085132061,0.532606955735813
"THCA","PFI","MDR_resolution",576,65,0.860003327017528,0.675058874266405,1.09561662052803,0.222162076164414,0.805337526096001
"STAD","OS","MDR_axis",436,176,0.913040387487917,0.787857629570839,1.05811344320951,0.22659610219167,0.48094270175331
"KIRP","DFI","MDR_injury",193,28,1.26450304058167,0.85839889110411,1.86273299769017,0.235064908713112,0.570408508769446
"STAD","DSS","MDR_resolution",402,97,1.13186179432293,0.920942778408565,1.39108655986395,0.239105849380551,0.420670914783228
"SARC","OS","MDR_axis",268,101,1.12884445915423,0.922037328854562,1.38203711833038,0.240471350876655,0.48094270175331
"LIHC","DSS","MDR_resolution",411,99,1.14172082046173,0.911556295358948,1.43000101969842,0.248578267826453,0.420670914783228
"MESO","OS","MDR_resolution",85,73,1.15990121428518,0.900646613720186,1.4937832512833,0.250457877268728,0.57153397328891
"LUAD","DFI","MDR_apc_ifn",374,112,0.903325667047846,0.759082907092929,1.07497778322064,0.252029099531425,0.458234726420772
"SARC","PFI","MDR_axis",268,144,1.10152685627997,0.933349648759051,1.30000736242765,0.252639554372622,0.534662126187693
"COAD","PFI","MDR_axis",331,101,1.11617993456822,0.922578424940364,1.35040839093246,0.258112750573369,0.534662126187693
"BLCA","PFI","MDR_injury",430,183,1.09091721869952,0.936618997801663,1.27063446379838,0.263394697828243,0.47740288981369
"LUSC","DSS","MDR_axis",534,108,0.898641228782305,0.743979816503778,1.08545425581887,0.267413503903358,0.588309708587388
"HNSC","OS","MDR_resolution",591,268,1.06904821834764,0.949064508019455,1.20420064547271,0.271653042975612,0.57153397328891
"LUSC","DSS","MDR_apc_ifn",534,108,1.11472772544293,0.918429015127637,1.35298197400534,0.271779731915423,0.420174245493559
"KIRC","PFI","MDR_apc_ifn",928,298,0.941329401385225,0.843906825413148,1.04999866718516,0.278058503256478,0.447983144135436
"TGCT","PFI","MDR_resolution",137,38,1.21278791407791,0.853718288846001,1.72288042056782,0.281466135725719,0.854290856874152
"PAAD","DSS","MDR_resolution",176,74,1.13430867202648,0.901691943991561,1.42693540960205,0.281823764054358,0.442865914942563
"BLCA","DSS","MDR_apc_ifn",412,129,0.913049664255046,0.772413643786401,1.07929177080511,0.286482440109245,0.420174245493559
"LUAD","DFI","MDR_resolution",374,112,0.914218497622492,0.774805124235832,1.07871700283274,0.288059440270586,0.772047949424071
"LIHC","DFI","MDR_injury",358,167,1.08733904413107,0.931497849005605,1.26925273971808,0.28873888149944,0.570408508769446
"UCEC","DFI","MDR_injury",124,18,0.780909388076038,0.493702292948923,1.23519675945354,0.290482604268132,0.570408508769446
"CESC","PFI","MDR_resolution",296,73,0.885480061226813,0.705349236946171,1.11161237265233,0.294583054094535,0.854290856874152
"STAD","DFI","MDR_axis",263,48,0.857992473637858,0.641376706192123,1.14776710428067,0.302235841256823,0.464978217318189
"LUSC","DFI","MDR_apc_ifn",358,80,1.12682378970968,0.897862976142205,1.4141710782098,0.302864485276127,0.473275942011693
"STAD","DFI","MDR_apc_ifn",263,48,1.16036865693852,0.87196302288457,1.54416573256864,0.307629362307601,0.473275942011693
"COAD","OS","MDR_axis",332,83,0.893983000308175,0.718831925270228,1.11181150522713,0.313792307537459,0.554833637276464
"LUAD","DFI","MDR_injury",374,112,1.09114290280748,0.920613713742207,1.29325993799015,0.314418063621243,0.570408508769446
"GBM","DSS","MDR_apc_ifn",145,110,1.11335328155918,0.900449533517163,1.37659633707274,0.321394647850093,0.441917640793878
"LIHC","DFI","MDR_resolution",358,167,0.9193469484741,0.77813898013875,1.08617976125284,0.322978315508459,0.772047949424071
"BLCA","OS","MDR_apc_ifn",429,192,0.932891126376036,0.81275371535234,1.07078668141661,0.323343333760114,0.482344237769829
"MESO","OS","MDR_axis",85,73,1.137299925179,0.880880945744269,1.46836087902811,0.323652955077937,0.554833637276464
"LGG","DFI","MDR_injury",135,23,0.796057596806464,0.506085258576698,1.25217576820061,0.323688004899865,0.570408508769446
"TGCT","DFI","MDR_axis",108,30,1.19095903121434,0.840488757253635,1.68756976436625,0.325726693723603,0.465323848176576
"COAD","OS","MDR_resolution",332,83,1.11149919911816,0.900086011633388,1.37256934745422,0.326076194134513,0.57153397328891
"TGCT","DFI","MDR_resolution",108,30,1.19974761922088,0.832206100206168,1.72961283204916,0.329167530967006,0.772047949424071
"STAD","DSS","MDR_axis",402,97,0.906599190178186,0.743877928769915,1.10491528225724,0.331303343076356,0.662606686152712
"CESC","DFI","MDR_injury",176,27,1.21694862951412,0.81827706136096,1.80985638826676,0.332249480873568,0.570408508769446
"LIHC","DSS","MDR_apc_ifn",411,99,0.898450024116507,0.719989400702349,1.12114490164372,0.343218725200832,0.44416540908343
"BRCA","OS","MDR_resolution",1215,202,1.06783318734868,0.932212703640487,1.22318405611751,0.343607222857142,0.57153397328891
"CESC","OS","MDR_resolution",296,73,0.894059983382623,0.70893686174218,1.12752389813923,0.344141026583511,0.57153397328891
"KIRP","DFI","MDR_resolution",193,28,1.20197600309992,0.818911777759586,1.76422705261445,0.347421577240832,0.772047949424071
"LUSC","OS","MDR_apc_ifn",608,278,1.05848408717276,0.939008998091216,1.19316062473888,0.352302947166461,0.482344237769829
"SARC","OS","MDR_resolution",268,101,0.919648834109718,0.769451410085248,1.09916489461714,0.357208733305568,0.57153397328891
"KIRC","DFI","MDR_injury",162,25,1.21060018696903,0.799964705943978,1.83202184021364,0.365931113707608,0.570408508769446
"ESCA","PFI","MDR_injury",200,91,1.10364995097043,0.889981202612068,1.3686167873008,0.369018200621491,0.629501636354308
"THCA","DFI","MDR_injury",404,31,1.19485404983226,0.809115229702006,1.76449057932868,0.37076553070014,0.570408508769446
"READ","OS","MDR_apc_ifn",98,19,0.803062172356302,0.494503497158487,1.30415428075917,0.375324614216953,0.482344237769829
"LUAD","PFI","MDR_resolution",621,269,0.951863191517334,0.852652328338489,1.06261779303543,0.379688291821538,0.944637464066006
"HNSC","OS","MDR_apc_ifn",591,268,0.948334764346721,0.842295437175625,1.06772372919911,0.380579149218122,0.482344237769829
"KIRP","OS","MDR_apc_ifn",346,59,1.1259165811227,0.863109832548345,1.46874488024793,0.381855854901114,0.482344237769829
"ACC","DSS","MDR_apc_ifn",75,25,0.843269189806048,0.574164537943228,1.23850025468912,0.384711289381828,0.470202687022235
"LUSC","PFI","MDR_axis",609,179,0.939786835879017,0.815197011584161,1.08341822202609,0.392095165400678,0.731283091866831
"COAD","DSS","MDR_axis",317,42,0.874456093595939,0.642077366905619,1.1909366363625,0.394648432867435,0.723522126923631
"LGG","DFI","MDR_axis",135,23,0.834143786450867,0.548925009770031,1.26756085820555,0.395642582188397,0.527523442917862
"BRCA","OS","MDR_injury",1215,202,1.06522942055367,0.920164572352213,1.23316388449127,0.397544814394028,0.56123973796804
"OV","PFI","MDR_resolution",425,309,0.945324694142416,0.829569880802074,1.07723146420339,0.398847724013311,0.944637464066006
"PRAD","PFI","MDR_injury",563,95,1.0921416541825,0.888893075169778,1.34186374730466,0.401506345090239,0.646871333756496
"LUSC","OS","MDR_axis",608,278,0.951424326231862,0.84681474717772,1.06895664200777,0.402088932224182,0.643342291558692
"BRCA","PFI","MDR_axis",1215,173,1.06489864609284,0.917893352852071,1.23544758541588,0.406758664003949,0.731283091866831
"SARC","PFI","MDR_apc_ifn",268,144,0.932782169311558,0.790763984346836,1.10030627672586,0.408978890576798,0.624230938248797
"UCEC","DFI","MDR_apc_ifn",124,18,0.835353554779946,0.537006943392136,1.29945351744536,0.424862050657506,0.606945786653579
"THYM","PFI","MDR_injury",120,23,1.18467749209788,0.780439060825972,1.79829640868819,0.426129038306001,0.650407479519685
"THYM","PFI","MDR_axis",120,23,1.17423199789253,0.788884013584051,1.74781179632534,0.428683191784005,0.731283091866831
"LUSC","DFI","MDR_resolution",358,80,1.09287336860494,0.874065298411668,1.366456490123,0.435905182046946,0.855372468519911
"LUSC","PFI","MDR_injury",609,179,1.05892704638087,0.911807933991468,1.22978365043204,0.453119923157296,0.657023888578079
"UCEC","PFI","MDR_apc_ifn",187,48,0.893591359656598,0.663635696833933,1.20322870192552,0.458590944321857,0.643592379249387
"UCEC","DSS","MDR_axis",185,25,0.860381409246609,0.574557604405025,1.28839330243265,0.465416951202522,0.787628686650422
"KICH","PFI","MDR_apc_ifn",89,15,1.21201188965123,0.722718262457409,2.03256634979874,0.466049653939212,0.643592379249387
"ESCA","PFI","MDR_resolution",200,91,1.07565201189907,0.882397659103394,1.3112310971883,0.470450334834605,0.944637464066006
"COAD","DFI","MDR_injury",121,17,0.832234095578484,0.505193592674673,1.37098648891487,0.47087537710129,0.655250195317077
"UCEC","DSS","MDR_injury",185,25,1.1638497452039,0.769891610165791,1.75939861082458,0.471733935048004,0.610479210062123
"THCA","DFI","MDR_apc_ifn",404,31,1.14037723095359,0.793883462762197,1.63809965804379,0.47716846347713,0.636224617969507
"CESC","DFI","MDR_axis",176,27,1.15175434073962,0.777950206746946,1.7051709092791,0.48035229028846,0.600440362860575
"SARC","DSS","MDR_resolution",262,84,0.932477457678652,0.765468768780592,1.13592382150874,0.487503580042076,0.65781595235311
"GBM","OS","MDR_apc_ifn",158,125,1.06908699328903,0.883599406854396,1.29351263746166,0.492006334362573,0.590407601235088
"SARC","PFI","MDR_injury",268,144,1.05995959203451,0.895941318169214,1.25400437948523,0.497202784936897,0.663120216639021
"BRCA","DSS","MDR_resolution",1185,107,1.06661524324784,0.885161830145926,1.28526562983529,0.497878578028658,0.65781595235311
"LUAD","DSS","MDR_resolution",582,155,0.952165237032994,0.823447304408975,1.10100383322624,0.508312326818312,0.65781595235311
"HNSC","PFI","MDR_injury",591,231,1.04794039050217,0.91178261349676,1.20443079939224,0.50962459884327,0.663120216639021
"KIRC","DFI","MDR_axis",162,25,1.14092271193692,0.768593738000717,1.69361857930241,0.513035564050066,0.603571251823607
"PRAD","DFI","MDR_resolution",395,32,1.12404017389133,0.787898191736678,1.60359082654667,0.518929289703877,0.855372468519911
"BRCA","DSS","MDR_axis",1185,107,1.06387872032164,0.881369869323759,1.28418042293825,0.5190127322179,0.815591436342414
"UCEC","OS","MDR_axis",187,37,0.896841150104991,0.641553051074185,1.25371401036114,0.524110410441292,0.786165615661938
"UCEC","PFI","MDR_injury",187,48,0.909052692669619,0.677047342237755,1.2205598434499,0.525922930437844,0.663120216639021
"SARC","DSS","MDR_injury",262,84,0.935401393562451,0.760336273818512,1.15077472587797,0.527621322790242,0.644870505632518
"GBM","PFI","MDR_axis",158,125,1.05518596903457,0.891635367487524,1.24873627701069,0.531877387113477,0.823873121315015
"ESCA","DFI","MDR_injury",96,23,1.14801252273093,0.740098802698691,1.78075244486456,0.537726426500369,0.655250195317077
"TGCT","PFI","MDR_axis",137,38,1.10445470301372,0.803938636509588,1.51730509719639,0.539778941551217,0.823873121315015
"UCEC","PFI","MDR_resolution",187,48,0.914173073416778,0.683341436382467,1.2229792658037,0.545617900636628,0.944637464066006
"ESCA","DFI","MDR_apc_ifn",96,23,1.13660783853451,0.749730342401266,1.72312270900017,0.54640041501005,0.678959672355385
"BRCA","PFI","MDR_resolution",1215,173,1.04478763136297,0.90262878144253,1.20933568382846,0.557111966193145,0.944637464066006
"COAD","PFI","MDR_apc_ifn",331,101,0.94340645633416,0.775611111171254,1.14750256801886,0.559874359488308,0.738016201143679
"OV","DFI","MDR_resolution",210,149,0.953568935922551,0.811007823548675,1.12118981981916,0.564992293419587,0.855372468519911
"COAD","PFI","MDR_resolution",331,101,1.05793844909658,0.872238569990681,1.28317389368466,0.567374185009681,0.944637464066006
"UCEC","DFI","MDR_resolution",124,18,0.883869317549331,0.574790733370279,1.35914677316458,0.573926923026982,0.855372468519911
"CESC","DFI","MDR_apc_ifn",176,27,1.11460404679538,0.761188908281954,1.63210757226702,0.577115721502077,0.678959672355385
"BLCA","PFI","MDR_resolution",430,183,1.04210932599989,0.898433487264586,1.20876154187263,0.58579107368781,0.944637464066006
"PAAD","OS","MDR_resolution",182,95,1.05625461085818,0.866660713218692,1.28732476959254,0.587680112778298,0.841965876473978
"LUSC","DSS","MDR_injury",534,108,1.05512667615299,0.868893044928216,1.28127657279341,0.588105781066305,0.668589143190694
"HNSC","DSS","MDR_resolution",561,160,1.04379318149537,0.892264435654057,1.22105528607961,0.592254075096977,0.723866091785194
"THCA","OS","MDR_resolution",576,20,0.887350233519273,0.568991563866835,1.38383499322142,0.598098352816013,0.841965876473978
"THCA","PFI","MDR_injury",576,65,1.07202070560049,0.82750542475917,1.38878653704371,0.598531499041994,0.690046402363739
"COAD","OS","MDR_injury",332,83,1.05749171322671,0.857871657672168,1.30356180151426,0.60047641504932,0.800635220065759
"LIHC","PFI","MDR_resolution",423,212,0.961577555069433,0.830218472378422,1.11372057497638,0.601116645464685,0.944637464066006
"READ","PFI","MDR_injury",97,20,1.13414534238588,0.706772190088904,1.81994378909247,0.601888947611067,0.690046402363739
"BRCA","DFI","MDR_injury",1036,91,1.05822498342982,0.85348377895578,1.31208131093615,0.605955217707525,0.655250195317077
"STAD","DSS","MDR_injury",402,97,1.05291401089395,0.86471466156492,1.28207368697837,0.60780831199154,0.668589143190694
"STAD","DFI","MDR_resolution",263,48,1.07885607119899,0.806519225140088,1.44315273099752,0.609112423733681,0.855372468519911
"STAD","DFI","MDR_injury",263,48,0.928915276628331,0.699047105934902,1.23437116587368,0.611208608332454,0.655250195317077
"TGCT","PFI","MDR_apc_ifn",137,38,0.926126783928014,0.688427082022932,1.24589930045819,0.612063351824373,0.771732052300296
"SARC","DFI","MDR_injury",159,71,1.06272990034081,0.839375123449134,1.34551860011947,0.613269638403098,0.655250195317077
"STAD","PFI","MDR_injury",438,140,0.958510097042188,0.811204844928858,1.13256424918468,0.618662291774387,0.690046402363739
"PRAD","DFI","MDR_injury",395,32,0.915941265741189,0.6457465226976,1.29919151369623,0.622487685551223,0.655250195317077
"UCEC","OS","MDR_resolution",187,37,1.08831379277704,0.770138492028084,1.53794015467229,0.631474407355483,0.841965876473978
"SARC","DFI","MDR_resolution",159,71,0.950042655480105,0.765674139128076,1.1788057100368,0.641529351389933,0.855372468519911
"THCA","OS","MDR_injury",576,20,1.12135202656534,0.690767133926698,1.82033901980001,0.643117398880779,0.812358819638878
"HNSC","PFI","MDR_resolution",591,231,1.03063840710402,0.90547856886978,1.17309847269359,0.647777696937295,0.944637464066006
"THCA","PFI","MDR_apc_ifn",576,65,1.05668061099278,0.822848796332609,1.35696122862983,0.665718484693037,0.79926087921507
"BRCA","DFI","MDR_axis",1036,91,1.04497812325608,0.854342630976834,1.27815145644231,0.668567316006296,0.723327351798313
"BLCA","PFI","MDR_axis",430,183,1.03335072506243,0.888417441703397,1.20192791233329,0.670480851328893,0.969135419979148
"UCEC","DFI","MDR_axis",124,18,0.912330066618369,0.583733517538169,1.42590090417663,0.687160984208397,0.723327351798313
"KIRP","PFI","MDR_apc_ifn",343,69,1.05009053801474,0.826544965433966,1.33409576507327,0.689017999323336,0.79926087921507
"KIRP","OS","MDR_resolution",346,59,1.05063457620666,0.814783428105439,1.35475633726084,0.70334762649748,0.888439107154712
"BRCA","OS","MDR_axis",1215,202,0.972751021541114,0.843806032233629,1.1214005515041,0.703370994956059,0.941068383291403
"SKCM","OS","MDR_axis",103,30,1.05943949392273,0.785022614209815,1.42978306734902,0.705801287468552,0.941068383291403
"SARC","DSS","MDR_axis",262,84,1.04349022704683,0.834796205011887,1.30435649731631,0.708457991750027,0.967548797136566
"ACC","OS","MDR_apc_ifn",77,27,0.930237319903974,0.634253580565912,1.36434621397017,0.711325627122242,0.781918249471448
"UVM","PFI","MDR_axis",78,28,1.07349541814885,0.735328969159618,1.56717940013108,0.713335880296579,0.969135419979148
"ESCA","OS","MDR_apc_ifn",200,83,1.03885268726178,0.845517652740367,1.27639547481146,0.716758395348827,0.781918249471448
"PAAD","PFI","MDR_resolution",182,107,1.03482871538137,0.849503516560385,1.26058391672559,0.733834123531713,0.944637464066006
"ESCA","DSS","MDR_apc_ifn",196,52,1.04561564791304,0.807922916651831,1.35323811297675,0.734610810069423,0.811715381452526
"PCPG","PFI","MDR_axis",184,22,1.0829846782906,0.6823092270941,1.71895053861032,0.735206180673836,0.969135419979148
"KIRP","DSS","MDR_apc_ifn",342,38,1.05744764664201,0.762362300726851,1.46675081430785,0.737923074047751,0.811715381452526
"SARC","PFI","MDR_resolution",268,144,0.974443616596777,0.836370947377885,1.13531007372162,0.739824944978149,0.944637464066006
"READ","OS","MDR_injury",98,19,0.924287876409661,0.57553152367457,1.48438103446258,0.744623270278712,0.893547924334454
"KIRP","PFI","MDR_resolution",343,69,0.962411712456175,0.761700159726447,1.21601169757595,0.748166616353463,0.944637464066006
"OV","DSS","MDR_resolution",395,229,0.974680833012627,0.827863678949604,1.147535216725,0.75817960151367,0.857272614220341
"KIRC","DFI","MDR_resolution",162,25,1.06479956737795,0.704112373817508,1.61025165988934,0.766062143905896,0.94529824682429
"OV","DSS","MDR_injury",395,229,0.977030253768846,0.837902758063589,1.1392588311628,0.766858383901219,0.803375449801277
"HNSC","DSS","MDR_axis",561,160,1.02365186384379,0.873729819210683,1.19929881676408,0.772335536666589,0.967548797136566
"BLCA","DSS","MDR_axis",412,129,1.02680005638112,0.854473887378108,1.23388013531855,0.777828575959943,0.967548797136566
"KIRP","DSS","MDR_resolution",342,38,1.04764013567003,0.756521310419529,1.45078511173475,0.77933874020031,0.857272614220341
"STAD","PFI","MDR_axis",438,140,0.976786429958224,0.828092336919883,1.15218036348384,0.780434603219471,0.974199144264707
"ACC","OS","MDR_resolution",77,27,1.05246668853545,0.721430878476612,1.53540160744961,0.790709011328003,0.905102910000347
"STAD","OS","MDR_apc_ifn",436,176,0.980848796003026,0.847626486817497,1.13500978978696,0.795152246626412,0.829724083436256
"TGCT","DFI","MDR_apc_ifn",108,30,0.961389320975362,0.709717106637183,1.30230681752182,0.799284528232786,0.888093920258651
"READ","PFI","MDR_resolution",97,20,1.06137539647593,0.665679507282962,1.6922824270833,0.802391227486899,0.944637464066006
"READ","PFI","MDR_axis",97,20,1.05193215980297,0.678020612113596,1.63204665029024,0.821255117055047,0.974199144264707
"READ","OS","MDR_resolution",98,19,0.945793188634047,0.577299100258497,1.54949965324044,0.824884520116341,0.905102910000347
"UCEC","DSS","MDR_apc_ifn",185,25,1.04717480525206,0.690546251467311,1.58798208001945,0.828218906424608,0.867657901968637
"SKCM","OS","MDR_injury",103,30,1.03715141010562,0.745830784521652,1.44226152876485,0.828342961659195,0.90218858440654
"OV","OS","MDR_axis",425,267,0.985884228714278,0.85979663017691,1.13046234227222,0.83865305865609,0.965666866601873
"ESCA","PFI","MDR_apc_ifn",200,91,0.979668131134907,0.80215278650675,1.19646738539789,0.840395276767798,0.907312640952932
"PCPG","PFI","MDR_apc_ifn",184,22,1.04463389704252,0.674786878915684,1.61719205418427,0.844739355369971,0.907312640952932
