"cancer","endpoint","score","n","events","p_logrank","HR_high_vs_low","CI_low","CI_high","file"
"SARC","DSS","MDR_apc_ifn",262,84,0.0389419605273865,0.636075347135202,0.412507467689865,0.980810964463197,"KM_TCGA_SARC_DSS_MDR_apc_ifn_median.pdf"
"BRCA","PFI","MDR_apc_ifn",1215,173,0.0420380588513908,0.731803214588983,0.540722571331854,0.990407971251673,"KM_TCGA_BRCA_PFI_MDR_apc_ifn_median.pdf"
"PAAD","DSS","MDR_injury",176,74,0.0427131086497166,1.61103251472518,1.01179264837372,2.56517555022111,"KM_TCGA_PAAD_DSS_MDR_injury_median.pdf"
"PAAD","PFI","MDR_injury",182,107,0.0465386528906863,1.4827681904847,1.00406831742415,2.18969313995844,"KM_TCGA_PAAD_PFI_MDR_injury_median.pdf"
"ESCA","OS","MDR_injury",200,83,0.049464551415439,1.54675584411205,0.996201748164679,2.40157542957783,"KM_TCGA_ESCA_OS_MDR_injury_median.pdf"
"KIRP","DFI","MDR_apc_ifn",193,28,0.0499341308038187,2.18191960521062,0.981055753504723,4.85270398404483,"KM_TCGA_KIRP_DFI_MDR_apc_ifn_median.pdf"
"THCA","PFI","MDR_axis",576,65,0.0505613478718066,1.64556030924071,0.99371360293366,2.72499915806141,"KM_TCGA_THCA_PFI_MDR_axis_median.pdf"
"MESO","DSS","MDR_injury",65,43,0.05646014651387,1.80249803919406,0.976057043200023,3.32869805503018,"KM_TCGA_MESO_DSS_MDR_injury_median.pdf"
"LIHC","PFI","MDR_axis",423,212,0.0571513945348624,1.29907621496883,0.990987629985141,1.70294659714678,"KM_TCGA_LIHC_PFI_MDR_axis_median.pdf"
"KIRP","PFI","MDR_injury",343,69,0.060576928440619,1.57737464526691,0.975858559787502,2.54966331603701,"KM_TCGA_KIRP_PFI_MDR_injury_median.pdf"
"KIRC","OS","MDR_apc_ifn",932,333,0.0694507279495438,0.818963282841313,0.660096745473056,1.01606448333807,"KM_TCGA_KIRC_OS_MDR_apc_ifn_median.pdf"
"SKCM","DSS","MDR_apc_ifn",103,22,0.0700755813877884,0.460760565358119,0.19266744303103,1.10190022377025,"KM_TCGA_SKCM_DSS_MDR_apc_ifn_median.pdf"
"THYM","PFI","MDR_apc_ifn",120,23,0.0889587557606294,2.04134840352185,0.875680103873367,4.75870501810993,"KM_TCGA_THYM_PFI_MDR_apc_ifn_median.pdf"
